kitemmodels 6.5.0-1
kitemviews 6.5.0-1
kitemviews5 5.116.0-1
kitty 0.36.1-1
kitty-shell-integration 0.36.1-1
kitty-terminfo 0.36.1-1
kjobwidgets 6.5.0-1
kjobwidgets5 5.116.0-1
kmod 33-3
knewstuff 6.5.0-1
knewstuff5 5.116.0-1
knotifications 6.5.0-1
knotifications5 5.116.0-1
knotifyconfig 6.5.0-1
knotifyconfig5 5.116.0-1
konsole 24.08.0-1
koodo-reader-bin 1.6.9-1
koodo-reader-bin-debug 1.6.9-1
kpackage 6.5.0-1
kpackage5 5.116.0-1
kparts 6.5.0-1
kparts5 5.116.0-1
kpty 6.5.0-1
kpty5 5.116.0-1
krb5 1.21.3-1
krita 5.2.3-1
kservice 6.5.0-1
kservice5 5.116.0-1
ktextwidgets 6.5.0-1
ktextwidgets5 5.116.0-1
kuserfeedback 6.5.0-1
kvantum 1.1.2-1
kwallet 6.5.0-1
kwallet5 5.116.0-1
kwidgetsaddons 6.5.0-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.5.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.5.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.0-5
lazygit 0.43.1-1
lcms2 2.16-1
ldb 2:2.9.1-2
ldns 1.8.3-3
less 1:661-1
lib32-alsa-lib 1.2.12-1
lib32-alsa-plugins 1.2.12-1
lib32-amdvlk 2024.Q3.1-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-curl 8.9.1-1
lib32-e2fsprogs 1.47.1-1
lib32-expat 2.6.3-1
lib32-gcc-libs 14.2.1+r32+geccf707e5ce-1
lib32-glibc 2.40+r16+gaa533d58ff-2
lib32-icu 75.1-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libdrm 2.4.122-1
lib32-libelf 0.191-1
lib32-libffi 3.4.6-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.50-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.8-1
lib32-libnghttp2 1.63.0-1
lib32-libnghttp3 1.5.0-1
lib32-libpciaccess 0.18.1-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.0-1
lib32-libtasn1 4.19.0-2
